,text,polarity,subjectivity
175,"""A great statesman."" ""A skilled, tough politician."" ""A patriot of the highest order."" World leaders react to the death of Senator John McCain. https://nyti.ms/2wr2Ynx ",0.30,0.69
176,"From a prisoner of war in Vietnam to his runs for president and opposition to Trump, these were key moments of John McCain's public life https://nyti.ms/2wmTM3u ",0.00,0.53
177,"In @nytopinion,
Op-Ed contributor Adam Grant writes, ""Although it's often said that those who can't do teach, the reality is that the best doers are often the worst teachers."" https://nyti.ms/2wp4C9i ",0.00,0.65
178,"In Opinion

Op-Ed contributor Naka Nathaniel writes, ""Last Sunday, I did something that no properly raised Catholic ever does. I stood up in the middle of Mass and called out the priest."" https://nyti.ms/2PBln9O ",0.00,0.07
179,Reporters and editors at The New York Times had a backstage view of John McCain’s 35 years in Washington as a member of the House and Senate. Here are the reflections of just a few. https://nyti.ms/2wrGjr5 ,-0.03,0.28
180,"A new psychological approach targets anxiety, PTSD and other mental disorders with concentrated, intensive therapy https://nyti.ms/2PhWTCg ",-0.02,0.28
181,"""The Happytime Murders"" and ""Puppet Master: The Littlest Reich"" both have puppet casts, but you'd better leave your child — and your childhood — at home https://nyti.ms/2wmdix9 ",0.50,0.50
182,"During a recent operation to repair a metal rod in her hip, the astrologer Susan Miller says she briefly died on the table. https://nyti.ms/2PrczTW ",0.00,0.29
183,".@NickKristof: ""Yes, he bobbed and weaved — but in the courage-free zone known as Congress, John McCain showed that principle and politics can mix at the highest levels."" https://nyti.ms/2wf8Dh5 ",0.00,0.00
184,The New York Times obituary for John McCain https://nyti.ms/2wmrg1W ,0.14,0.45
185,Inside the board room as Elon called off the deal. Only in the Times. w ⁦@katekelly⁩ and ⁦@jbsgreenberg⁩ https://www.nytimes.com/2018/08/25/business/elon-musk-tesla-private.html …,0.00,1.00
186,"Zazie Beetz on ‘Atlanta,’ Her Emmy Nomination and Impostor Syndrome https://nyti.ms/2P8pfy6 ",0.00,0.00
187,Remembering @SenJohnMcCain. Here are some of the recollections from myself and other reporters who covered McCain. My contribution is remembering the day he suspended his campaign in the middle of the economic collapse. https://www.nytimes.com/2018/08/25/us/politics/senator-john-mccain.html?action=click&module=Top%20Stories&pgtype=Homepage …,0.03,0.19
188,Montgomery Memo: A Rebirth for Alabama Democrats? Not So Fast https://nyti.ms/2PFJqEK ,0.20,0.60
189,"No Saudi Aramco I.P.O.? No Problem, Potentially, for Saudi Arabia’s Investment Dreams https://nyti.ms/2wtwOYm ",0.00,1.00
190,The Late ’70s Ushered In a New Women’s Tennis Rivalry: Chrissie vs. Martina https://nyti.ms/2wuXfgC ,-0.08,0.53
191,Inviting the Next Financial Crisis https://nyti.ms/2PBqbfk ,0.00,0.00
192,"""Throughout the meeting, she had been drinking from a water bottle, which we suspect was full of alcohol"" https://nyti.ms/2nTheRW ",0.35,0.55
193,"Ammar Campa-Najjar is Democratic candidate running in a solidly Republican enclave in California. But after the indictment of Duncan Hunter, his candidacy no longer seems like a long-shot. https://nyti.ms/2BRbdyW ",0.00,0.10
194,"""I have certainly seen my share of the world as it really is and not how I wish it would be,"" wrote John McCain in a 2017 Op-Ed. https://nyti.ms/2PBHgG5 ",0.21,0.39
195,A Real-Time Map Tracks the Building Frenzy That’s Transforming New York https://nyti.ms/2wbLVXa ,0.14,0.45
196,Italy wants the Frick Collection's most recent painting acquisition back and says its export license never should have been granted https://nyti.ms/2PArgUE ,0.17,0.21
197,Hollywood is lousy with the vanity projects and left-field dalliances of actors — but Keanu Reeves’s extracurriculars feel more in sync with his personality https://nyti.ms/2BhC5rC ,0.00,0.50
198,"A Times columnist tried to answer questions from a test that determines admission to NYC's most selective high schools. ""Suffice to say I would not be attending Stuyvesant or Bronx High School of Science were I now an eighth grader,"" he writes. https://nyti.ms/2wnnYvi ",0.27,0.53
199,"When President Trump took office, he inherited 107 additional judicial vacancies. Here's how his administration is remaking the federal courts. https://nyti.ms/2P3vUtq ",0.00,0.00
